Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
144,Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,fr Ligue 1,24,0.9,14,12,2,0,0,0,0,0,0,0,0,0,11,0,0
145,Ludwig Augustinsson,se SWE,"DF,FW",Sevilla,es La Liga,27,8.8,551,442,107,7,0,3,47,81,19,0,15,1,437,2,10
146,Serge Aurier,ci CIV,DF,Villarreal,es La Liga,28,11.2,742,646,94,10,0,2,27,84,0,0,0,0,623,2,12
147,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,27,20.8,556,526,24,6,2,12,79,8,4,2,1,0,307,6,21
148,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23,24.2,474,458,12,0,5,0,10,2,0,0,0,0,313,4,17
149,Ramzi Aya,it ITA,DF,Salernitana,it Serie A,30,1.5,27,20,7,2,0,0,1,5,0,0,0,0,19,0,0
150,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,29,22.4,754,738,14,3,8,2,74,9,2,0,0,0,576,2,30
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
151,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,26,15.0,871,824,43,37,3,12,2,3,0,0,0,0,790,4,2
152,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,29,25.2,1592,1412,171,36,5,24,31,134,0,0,0,0,1224,9,29
153,Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,31,4.3,148,139,9,2,0,0,1,7,0,0,0,0,102,0,5
154,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,de Bundesliga,26,4.0,108,103,3,0,3,0,2,0,0,0,0,0,79,2,3
155,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31,23.0,1787,1627,153,25,1,0,47,128,0,0,0,0,1486,7,31
