Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
433,Nolan Bonte,fr FRA,FW,Lens,fr Ligue 1,19-139,0,,,,,0,,0,0,,2,,,,,,,,,,,
434,Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,36-037,16,880,55,25.7,9.8,9,85,7,7,17,9,2.06,20,10,+10,+1.02,+0.56,16.5,11.3,+5.2,+0.53,+0.23
435,Neto Borges,br BRA,DF,Clermont Foot,fr Ligue 1,26-267,33,2833,86,82.8,31.5,33,86,28,0,,0,1.58,38,43,-5,-0.16,-0.31,40.3,48.5,-8.2,-0.26,+0.13
436,Yvandro Borges Sanches,lu LUX,"FW,MF",M'Gladbach,de Bundesliga,19-014,3,28,9,0.9,0.3,0,,0,3,9,10,1.33,1,2,-1,-3.21,-3.15,0.6,0.7,-0.1,-0.17,-0.13
437,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,24-077,26,1928,74,63.0,21.4,23,82,18,3,11,7,1.54,41,31,+10,+0.47,+0.55,32.3,33.0,-0.7,-0.03,-0.09
438,Théo Borne,fr FRA,GK,Angers,fr Ligue 1,20-327,0,,,,,0,,0,0,,11,,,,,,,,,,,
439,Rafael Borré,co COL,"MF,FW",Eint Frankfurt,de Bundesliga,27-265,32,1078,34,35.2,12.0,10,68,2,22,18,1,1.44,13,21,-8,-0.67,-1.30,17.7,18.1,-0.5,-0.04,-0.45
440,Erik Botheim,no NOR,"MF,FW",Salernitana,it Serie A,23-148,28,866,31,25.3,9.6,9,65,2,19,15,10,1.29,13,17,-4,-0.42,-0.06,9.2,17.6,-8.4,-0.88,-0.10
441,Nikolaos Botis,gr GRE,GK,Inter,it Serie A,19-068,0,,,,,0,,0,0,,3,,,,,,,,,,,
442,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,23-146,36,3127,87,91.4,34.7,35,89,33,1,1,2,1.94,64,30,+34,+0.98,+0.67,66.8,37.1,+29.7,+0.86,+0.03
443,Kenji-Van Boto,mg MAD,DF,Auxerre,fr Ligue 1,27-092,2,180,90,5.3,2.0,2,90,2,0,,14,3.00,5,1,+4,+2.00,+2.89,2.1,2.1,-0.1,-0.03,+0.42
444,Kouamé Botué,bf BFA,"FW,MF",Ajaccio,fr Ligue 1,20-304,8,229,29,6.7,2.5,2,59,0,6,19,6,0.38,1,5,-4,-1.57,-0.25,3.0,5.1,-2.1,-0.81,-0.37
445,Badredine Bouanani,dz ALG,"FW,MF",Nice,fr Ligue 1,18-181,19,863,45,25.2,9.6,9,71,1,10,22,3,1.63,12,7,+5,+0.52,+0.31,15.5,10.8,+4.7,+0.49,+0.21
446,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,23-257,27,1875,69,54.8,20.8,22,78,11,5,30,2,1.78,27,14,+13,+0.62,+0.74,34.9,25.4,+9.5,+0.46,+0.28
447,Franci Bouebari,fr FRA,DF,Strasbourg,fr Ligue 1,19-268,2,76,38,2.2,0.8,0,,0,2,38,11,1.50,2,1,+1,+1.18,+1.43,1.1,2.4,-1.3,-1.50,-1.35
448,Sofiane Boufal,ma MAR,"FW,MF",Angers,fr Ligue 1,29-263,13,834,64,24.4,9.3,9,79,2,4,31,0,0.54,12,23,-11,-1.19,+0.10,13.5,15.6,-2.1,-0.23,+0.42
449,Teddy Boulhendi,fr FRA,GK,Nice,fr Ligue 1,22-059,0,,,,,0,,0,0,,19,,,,,,,,,,,
450,Wassim Boullif,es ESP,DF,Espanyol,es La Liga,18-124,7,148,21,4.3,1.6,0,,0,7,21,15,1.43,5,6,-1,-0.61,-0.17,1.8,4.4,-2.6,-1.58,-1.33
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
451,Reda Boultam,nl NED,MF,Salernitana,it Serie A,25-096,0,,,,,0,,0,0,,1,,,,,,,,,,,
452,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,32-063,25,2151,86,62.9,23.9,25,86,23,0,,12,1.04,27,42,-15,-0.63,-1.19,28.1,37.8,-9.7,-0.41,-0.53
453,Ismaëlben Boura,fr FRA,"DF,FW",Lens,fr Ligue 1,22-297,9,93,10,2.7,1.0,0,,0,9,10,21,1.78,5,2,+3,+2.90,+1.93,2.6,3.3,-0.7,-0.71,-1.37
454,Mehdi Bourabia,ma MAR,MF,Spezia,it Serie A,31-304,37,2773,75,81.1,30.8,36,76,12,1,31,1,0.84,28,50,-22,-0.71,+0.54,33.6,49.2,-15.5,-0.50,-0.17
455,Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,fr Ligue 1,29-144,37,3065,83,89.6,34.1,37,83,16,0,,0,1.76,64,35,+29,+0.85,+0.60,55.3,39.1,+16.1,+0.47,+0.19
456,Edoardo Bove,it ITA,MF,Roma,it Serie A,21-022,22,994,45,29.1,11.0,10,75,4,12,20,16,1.77,12,13,-1,-0.09,-0.57,13.0,12.7,+0.3,+0.03,-0.90
457,Jarrod Bowen,eng ENG,"FW,MF",West Ham,eng Premier League,26-169,38,3233,85,94.5,35.9,36,89,30,2,19,0,1.05,40,50,-10,-0.28,+1.17,46.7,47.9,-1.2,-0.03,+1.24
458,Lucas Boyé,ar ARG,FW,Elche,es La Liga,27-099,35,2462,70,72.0,27.4,29,81,14,6,21,0,0.69,24,47,-23,-0.84,+0.47,27.5,44.8,-17.3,-0.63,+0.80
459,Andrea Bozzolan,it ITA,DF,Milan,it Serie A,19-104,0,,,,,0,,0,0,,4,,,,,,,,,,,
460,Jayden Braaf,nl NED,"MF,FW",Hellas Verona,it Serie A,20-280,6,287,48,8.4,3.2,2,75,0,4,35,14,0.33,2,4,-2,-0.63,+0.12,2.7,5.0,-2.3,-0.72,-0.38
461,Domagoj Bradarić,hr CRO,DF,Salernitana,it Serie A,23-179,31,2250,73,65.8,25.0,24,85,19,7,29,5,1.13,31,44,-13,-0.52,-0.44,22.8,44.3,-21.5,-0.86,-0.17
462,Davide Bragantini,it ITA,FW,Hellas Verona,it Serie A,19-294,0,,,,,0,,0,0,,1,,,,,,,,,,,
463,Bilal Brahimi,dz ALG,"FW,MF",Nice,fr Ligue 1,23-085,26,800,31,23.4,8.9,5,67,1,21,22,10,1.31,11,8,+3,+0.34,+0.06,14.5,11.5,+3.0,+0.33,0.00
464,Martin Braithwaite,dk DEN,"FW,MF",Espanyol,es La Liga,32-002,31,2456,79,71.8,27.3,29,83,14,2,29,0,0.94,35,46,-11,-0.40,+0.16,32.4,40.5,-8.1,-0.30,+0.01
465,Federico Brancolini,it ITA,GK,Lecce,it Serie A,21-328,0,,,,,0,,0,0,,33,,,,,,,,,,,
466,Juan Brandáriz,es ESP,DF,Almería,es La Liga,24-097,21,1489,71,43.5,16.5,15,89,13,6,27,9,1.10,20,30,-10,-0.60,-0.32,20.3,31.7,-11.4,-0.69,-0.43
467,Julian Brandt,de GER,"MF,FW",Dortmund,de Bundesliga,27-036,32,2397,75,78.3,26.6,29,80,12,3,27,0,2.09,67,28,+39,+1.46,+1.46,55.8,29.0,+26.8,+1.01,+0.86
468,Darko Brašanac,rs SRB,MF,Osasuna,es La Liga,31-115,25,1041,42,30.4,11.6,9,74,3,16,23,2,1.36,11,14,-3,-0.26,-0.18,12.0,14.5,-2.5,-0.21,-0.07
469,Lilian Brassier,fr FRA,DF,Brest,fr Ligue 1,23-217,36,3093,86,90.4,34.4,35,88,33,1,3,2,1.22,43,49,-6,-0.17,+0.93,40.9,51.5,-10.5,-0.31,+0.28
470,Claudio Bravo,cl CHI,GK,Betis,es La Liga,40-055,12,1080,90,31.6,12.0,12,90,12,0,,21,1.67,13,9,+4,+0.33,+0.29,16.8,14.9,+1.9,+0.16,+0.17
471,Sammy Braybroke,mx MEX,MF,Leicester City,eng Premier League,,0,,,,,0,,0,0,,1,,,,,,,,,,,
472,Samuel Braybrooke,eng ENG,MF,Leicester City,eng Premier League,19-087,0,,,,,0,,0,0,,2,,,,,,,,,,,
473,Gabriel Brazão,br BRA,GK,Inter,it Serie A,22-245,0,,,,,0,,0,0,,3,,,,,,,,,,,
474,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,28-097,15,1350,90,44.1,15.0,15,90,15,0,,18,1.13,23,23,0,0.00,+0.63,22.2,20.6,+1.6,+0.11,+0.07
475,James Bree,eng ENG,DF,Southampton,eng Premier League,25-239,5,367,73,10.7,4.1,4,84,2,1,32,1,0.20,6,12,-6,-1.47,-0.56,4.0,9.4,-5.4,-1.32,-0.80
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
476,Josip Brekalo,hr CRO,"FW,MF",Fiorentina,it Serie A,24-349,6,229,38,6.7,2.5,1,90,1,5,28,11,1.50,4,1,+3,+1.18,+0.98,5.1,2.0,+3.1,+1.23,+0.99
477,Josip Brekalo,hr CRO,"MF,FW",Wolfsburg,de Bundesliga,24-349,6,271,45,8.9,3.0,3,74,0,3,17,6,1.17,2,5,-3,-1.00,-1.38,2.1,4.5,-2.4,-0.79,-0.87
478,Gleison Bremer,br BRA,DF,Juventus,it Serie A,26-081,30,2633,88,77.0,29.3,30,88,24,0,,3,1.77,41,31,+10,+0.34,-1.14,39.6,33.3,+6.3,+0.21,-0.64
479,Diego Bri,es ESP,FW,Atlético Madrid,es La Liga,20-268,0,,,,,0,,0,0,,1,,,,,,,,,,,
480,Armando Broja,al ALB,FW,Chelsea,eng Premier League,21-270,12,294,25,8.6,3.3,2,67,0,10,16,1,1.50,5,5,0,0.00,+0.26,2.8,4.4,-1.6,-0.49,-0.44
481,Dylan Bronn,tn TUN,DF,Salernitana,it Serie A,27-353,24,1683,70,49.2,18.7,19,82,14,5,25,8,1.17,24,30,-6,-0.32,+0.09,19.2,34.7,-15.5,-0.83,-0.05
482,David Brooks,wls WAL,"FW,MF",Bournemouth,eng Premier League,25-334,6,173,29,5.1,1.9,2,55,0,4,16,5,0.00,0,4,-4,-2.08,-1.25,1.0,4.5,-3.5,-1.83,-1.23
483,John Brooks,us USA,DF,Hoffenheim,de Bundesliga,30-130,15,1350,90,44.1,15.0,15,90,15,0,,2,1.13,23,28,-5,-0.33,-0.12,19.4,23.2,-3.8,-0.25,-0.29
484,Moritz Broschinski,de GER,"FW,MF",Bochum,de Bundesliga,22-257,11,213,19,7.0,2.4,0,,0,11,19,3,1.09,5,4,+1,+0.42,+1.47,4.9,6.4,-1.6,-0.66,+0.10
485,Marcelo Brozović,hr CRO,MF,Inter,it Serie A,30-203,28,1771,63,51.8,19.7,19,83,11,9,22,0,1.79,35,27,+8,+0.41,-0.74,35.2,20.9,+14.3,+0.73,-0.22
486,Maximilian Brüll,de GER,GK,M'Gladbach,de Bundesliga,20-285,0,,,,,0,,0,0,,1,,,,,,,,,,,
487,Cédric Brunner,ch SUI,DF,Schalke 04,de Bundesliga,29-110,28,2315,83,75.7,25.7,28,83,18,0,,0,0.79,22,54,-32,-1.24,-0.76,27.8,41.7,-13.9,-0.54,-0.10
488,Kevin Bruno,it ITA,MF,Sassuolo,it Serie A,18-042,0,,,,,0,,0,0,,1,,,,,,,,,,,
489,Lewis Brunt,eng ENG,DF,Leicester City,eng Premier League,22-213,1,23,23,0.7,0.3,0,,0,1,23,6,0.00,0,1,-1,-3.91,-3.49,0.0,0.8,-0.8,-3.31,-3.00
490,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,de Bundesliga,24-261,12,328,27,10.7,3.6,3,67,0,9,14,5,1.25,5,8,-3,-0.82,-0.63,5.8,6.4,-0.6,-0.16,-0.08
491,Andreas Bruus,dk DEN,"DF,FW",Troyes,fr Ligue 1,24-142,27,1628,60,47.6,18.1,18,84,10,9,14,4,0.59,20,38,-18,-1.00,-0.09,18.4,40.7,-22.3,-1.23,-0.40
492,Bryan,es ESP,"MF,FW",Tottenham,eng Premier League,22-116,4,148,37,4.3,1.6,2,69,0,2,5,12,1.50,5,1,+4,+2.43,+2.35,2.3,1.0,+1.3,+0.79,+0.62
493,Bryan,es ESP,"FW,DF",Sevilla,es La Liga,22-116,17,918,54,26.8,10.2,10,72,1,7,29,2,1.47,13,13,0,0.00,+0.25,13.8,11.2,+2.6,+0.26,+0.63
494,Joe Bryan,eng ENG,"MF,DF",Nice,fr Ligue 1,29-263,6,177,30,5.2,2.0,2,69,0,4,10,12,1.67,3,1,+2,+1.02,+0.77,3.2,1.5,+1.7,+0.84,+0.54
495,Lee Buchanan,eng ENG,"DF,FW",Werder Bremen,de Bundesliga,22-092,21,472,22,15.4,5.2,2,74,0,19,17,9,1.00,15,8,+7,+1.33,+2.03,10.0,8.9,+1.1,+0.21,+0.65
496,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,31-320,31,1798,58,52.6,20.0,22,73,3,9,20,6,1.48,22,19,+3,+0.15,+0.59,22.1,22.0,+0.2,+0.01,+0.37
497,Emi Buendía,ar ARG,"MF,FW",Aston Villa,eng Premier League,26-164,38,2412,63,70.5,26.8,27,79,8,11,26,0,1.61,40,34,+6,+0.22,+0.31,36.9,37.2,-0.3,-0.01,+0.16
498,Hugo Bueno,es ESP,DF,Wolves,eng Premier League,20-262,21,1310,62,38.3,14.6,16,75,7,5,21,9,1.05,12,29,-17,-1.17,-0.74,13.3,23.0,-9.7,-0.67,-0.10
499,Santiago Bueno,uy URU,DF,Girona,es La Liga,24-210,34,3010,89,88.0,33.4,34,89,32,0,,0,1.44,55,48,+7,+0.21,+1.09,45.3,46.0,-0.7,-0.02,+0.84
500,Adam Buksa,pl POL,"FW,MF",Lens,fr Ligue 1,26-330,8,101,13,3.0,1.1,0,,0,8,13,4,2.38,0,0,0,0.00,-1.06,1.0,2.6,-1.6,-1.41,-2.10
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
501,Marius Bülter,de GER,"FW,MF",Schalke 04,de Bundesliga,30-070,33,2598,79,84.9,28.9,30,83,20,3,34,0,0.91,29,60,-31,-1.07,-0.10,34.6,44.2,-9.6,-0.33,+1.22
502,Cristian Buonaiuto,it ITA,"MF,FW",Cremonese,it Serie A,30-160,29,980,34,28.7,10.9,7,65,1,22,24,7,0.62,10,23,-13,-1.19,-0.46,12.3,19.4,-7.1,-0.65,+0.10
503,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,eng Premier League,18-166,13,565,43,16.5,6.3,6,69,1,7,22,6,1.54,11,12,-1,-0.16,-0.79,11.6,11.9,-0.3,-0.05,-0.79
504,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,24-001,34,2721,80,79.6,30.2,30,85,24,4,39,2,1.41,35,30,+5,+0.17,+0.68,32.3,30.1,+2.2,+0.07,+0.12
505,Delano Burgzorg,nl NED,"FW,MF",Mainz 05,de Bundesliga,24-212,13,244,19,8.0,2.7,0,,0,13,19,11,1.08,3,5,-2,-0.74,-0.77,3.5,5.1,-1.6,-0.57,-0.42
506,Jonathan Burkardt,de GER,"MF,FW",Mainz 05,de Bundesliga,22-331,11,533,48,17.4,5.9,7,59,0,4,29,0,1.18,7,12,-5,-0.84,-0.99,8.5,9.8,-1.3,-0.22,-0.04
507,Oliver Burke,sct SCO,"FW,MF",Werder Bremen,de Bundesliga,26-061,15,268,18,8.8,3.0,1,58,0,14,15,3,1.20,11,7,+4,+1.34,+1.89,7.0,8.0,-0.9,-0.31,+0.04
508,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,31-029,38,3111,82,91.0,34.6,35,87,27,3,17,0,1.87,64,30,+34,+0.98,+0.69,66.2,35.2,+31.0,+0.90,+0.48
509,Maxime Busi,be BEL,DF,Reims,fr Ligue 1,23-236,21,1043,50,30.5,11.6,11,79,4,10,18,9,0.95,13,18,-5,-0.43,-0.62,17.9,16.3,+1.6,+0.14,-0.14
510,Jakob Busk,dk DEN,GK,Union Berlin,de Bundesliga,29-268,0,,,,,0,,0,0,,5,,,,,,,,,,,
511,Sergio Busquets,es ESP,MF,Barcelona,es La Liga,34-326,30,2339,78,68.4,26.0,28,81,17,2,30,4,2.43,41,11,+30,+1.15,-0.51,49.4,22.6,+26.8,+1.03,-0.25
512,Aurélio Buta,pt POR,DF,Eint Frankfurt,de Bundesliga,26-117,18,1318,73,43.1,14.6,15,83,7,3,26,1,1.11,19,21,-2,-0.14,-0.55,21.3,17.9,+3.4,+0.23,-0.04
513,Leonardo Buta,pt POR,DF,Udinese,it Serie A,21-002,2,16,8,0.5,0.2,0,,0,2,8,17,0.00,0,1,-1,-5.63,-5.63,0.3,0.9,-0.6,-3.23,-3.12
514,Jack Butland,eng ENG,GK,Manchester Utd,eng Premier League,30-089,0,,,,,0,,0,0,,12,,,,,,,,,,,
515,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,30-089,0,,,,,0,,0,0,,2,,,,,,,,,,,
516,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,eng Premier League,20-154,0,,,,,0,,0,0,,1,,,,,,,,,,,
517,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,23-246,2,180,90,5.3,2.0,2,90,2,0,,20,0.50,1,2,-1,-0.50,-0.83,2.6,2.3,+0.2,+0.11,-0.24
518,Jamie Bynoe-Gittens,eng ENG,"FW,MF",Dortmund,de Bundesliga,18-303,15,533,36,17.4,5.9,4,59,0,11,27,3,2.53,19,7,+12,+2.03,+1.06,12.9,8.4,+4.4,+0.75,-0.09
519,Juan Cabal,co COL,DF,Hellas Verona,it Serie A,22-150,11,445,40,13.0,4.9,3,73,1,8,28,25,0.18,3,11,-8,-1.62,-1.01,4.7,9.0,-4.3,-0.88,-0.58
520,Willy Caballero,ar ARG,GK,Southampton,eng Premier League,41-252,0,,,,,0,,0,0,,11,,,,,,,,,,,
521,Rémy Cabella,fr FRA,"MF,FW",Lille,fr Ligue 1,33-091,32,2525,79,73.8,28.1,28,86,15,4,31,1,1.81,45,25,+20,+0.71,+0.61,52.5,25.0,+27.5,+0.98,+0.91
522,Jimmy Cabot,fr FRA,"DF,MF",Lens,fr Ligue 1,29-050,11,511,46,14.9,5.7,5,81,3,6,17,0,2.18,8,6,+2,+0.35,-0.79,11.2,6.7,+4.5,+0.78,+0.19
523,Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,31-355,32,2669,83,78.0,29.7,31,86,27,1,1,2,1.03,40,54,-14,-0.47,-0.11,38.5,45.0,-6.5,-0.22,+0.38
524,Liberato Cacace,nz NZL,DF,Empoli,it Serie A,22-253,12,587,49,17.2,6.5,5,86,4,7,22,26,0.50,6,9,-3,-0.46,-0.17,6.4,12.8,-6.4,-0.98,-0.57
525,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,25-341,31,2033,66,66.4,22.6,23,83,14,8,16,3,1.26,38,38,0,0.00,+0.09,32.7,35.8,-3.1,-0.14,+0.16
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
526,Cafú,pt POR,MF,Nott'ham Forest,eng Premier League,30-101,1,7,7,0.2,0.1,0,,0,1,7,1,3.00,0,0,0,0.00,+0.79,0.0,0.2,-0.2,-2.58,-1.93
527,Federico Caia,it ITA,FW,Hellas Verona,it Serie A,20-047,0,,,,,0,,0,0,,1,,,,,,,,,,,
528,Moisés Caicedo,ec ECU,MF,Brighton,eng Premier League,21-217,37,3139,85,91.8,34.9,34,89,30,3,35,0,1.68,62,47,+15,+0.43,-0.85,65.3,44.9,+20.4,+0.59,-0.28
529,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,32-138,33,988,30,28.9,11.0,6,78,0,27,19,0,1.36,18,13,+5,+0.46,+0.57,16.0,20.1,-4.1,-0.38,+0.12
530,Jens Cajuste,se SWE,MF,Reims,fr Ligue 1,23-301,31,1530,49,44.7,17.0,14,76,2,17,28,0,1.45,16,19,-3,-0.18,-0.32,26.5,24.9,+1.6,+0.10,-0.25
531,Cala,es ESP,DF,Cádiz,es La Liga,33-193,3,137,46,4.0,1.5,1,72,0,2,33,9,0.67,0,3,-3,-1.97,-1.42,0.8,2.5,-1.7,-1.15,-0.65
532,Davide Calabria,it ITA,DF,Milan,it Serie A,26-183,25,1689,68,49.4,18.8,21,78,10,4,14,3,1.72,35,25,+10,+0.53,-0.04,28.4,19.6,+8.8,+0.47,0.00
533,Mattia Caldara,it ITA,DF,Spezia,it Serie A,29-033,20,1253,63,36.6,13.9,13,87,11,7,17,15,1.10,10,22,-12,-0.86,-0.07,12.2,27.5,-15.3,-1.10,-0.98
534,Luca Caldirola,it ITA,DF,Monza,it Serie A,32-126,31,2353,76,68.8,26.1,27,83,17,4,31,4,1.65,36,32,+4,+0.15,+0.83,32.1,33.7,-1.5,-0.06,+0.26
535,Fernando Calero,es ESP,"DF,MF",Espanyol,es La Liga,27-266,27,1611,60,47.1,17.9,20,73,7,7,23,9,1.07,21,29,-8,-0.45,0.00,21.8,25.7,-3.8,-0.21,+0.17
536,Duje Ćaleta-Car,hr CRO,DF,Southampton,eng Premier League,26-263,13,946,73,27.7,10.5,9,86,7,4,44,13,0.69,8,15,-7,-0.67,+0.43,9.2,14.7,-5.6,-0.53,+0.11
537,Duje Ćaleta-Car,hr CRO,DF,Marseille,fr Ligue 1,26-263,1,8,8,0.2,0.1,0,,0,1,8,3,3.00,0,0,0,0.00,-0.71,0.0,0.1,0.0,-0.25,-0.86
538,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,29-119,33,2364,72,69.1,26.3,28,80,12,5,23,2,2.06,56,25,+31,+1.18,+1.35,47.1,22.0,+25.1,+0.96,+0.40
539,Kerim Calhanoglu,de GER,DF,Schalke 04,de Bundesliga,20-285,3,63,21,2.1,0.7,0,,0,3,21,1,0.33,0,2,-2,-2.86,-1.84,0.6,2.5,-1.8,-2.63,-2.15
540,Daniel Caligiuri,it ITA,"DF,MF",Augsburg,de Bundesliga,35-143,13,290,22,9.5,3.2,2,74,1,11,13,20,0.85,2,10,-8,-2.48,-2.06,1.7,7.8,-6.1,-1.88,-1.30
541,Alexander Callens,pe PER,DF,Girona,es La Liga,31-034,6,120,20,3.5,1.3,0,,0,6,20,7,1.83,1,0,+1,+0.75,+0.70,1.2,2.1,-0.9,-0.66,-0.56
542,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,26-083,17,1165,69,34.1,12.9,15,75,4,2,20,0,0.82,12,22,-10,-0.77,-0.25,16.2,22.7,-6.4,-0.49,+0.07
543,Dawda Camara,mr MTN,FW,Girona,es La Liga,20-215,0,,,,,0,,0,0,,1,,,,,,,,,,,
544,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,24-342,31,1820,59,53.2,20.2,20,75,4,11,28,2,1.13,21,28,-7,-0.35,-0.18,24.8,29.4,-4.6,-0.23,+0.23
545,Mohamed Camara,gn GUI,MF,Roma,it Serie A,26-099,15,696,46,20.4,7.7,8,76,1,7,13,18,1.33,5,10,-5,-0.65,-1.21,8.2,6.3,+1.9,+0.25,-0.53
546,Mohamed Camara,ml MLI,MF,Monaco,fr Ligue 1,23-152,29,2194,76,64.2,24.4,25,82,16,4,36,1,1.79,50,40,+10,+0.41,+0.26,39.8,33.6,+6.2,+0.25,+0.06
547,Ousmane Camara,gn GUI,"FW,MF",Auxerre,fr Ligue 1,21-216,3,24,8,0.7,0.3,0,,0,3,8,1,0.00,0,0,0,0.00,+0.74,1.2,0.0,+1.1,+4.09,+4.55
548,Ousmane Camara,fr FRA,DF,Angers,fr Ligue 1,20-093,9,521,58,15.2,5.8,6,73,3,3,28,15,0.00,5,20,-15,-2.59,-1.57,7.5,11.7,-4.2,-0.73,-0.22
549,Ousoumane Camara,fr FRA,MF,Auxerre,fr Ligue 1,24-170,0,,,,,0,,0,0,,2,,,,,,,,,,,
550,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,20-209,37,2010,54,58.8,22.3,21,78,11,16,23,0,2.11,51,16,+35,+1.57,+1.31,47.6,20.8,+26.8,+1.20,+0.58
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
551,Nicolò Cambiaghi,it ITA,"FW,MF",Empoli,it Serie A,22-161,28,1288,46,37.7,14.3,12,74,2,16,25,3,1.32,20,12,+8,+0.56,+1.40,17.5,19.7,-2.2,-0.15,+0.58
552,Andrea Cambiaso,it ITA,DF,Bologna,it Serie A,23-107,32,2170,68,63.5,24.1,25,81,17,7,19,2,1.38,30,28,+2,+0.08,-0.06,28.3,29.3,-1.0,-0.04,+0.24
553,Axel Camblan,fr FRA,"FW,MF",Brest,fr Ligue 1,19-281,7,68,10,2.0,0.8,0,,0,7,10,9,0.86,1,0,+1,+1.32,+1.62,0.7,1.0,-0.3,-0.40,-0.06
554,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,22-117,38,2401,63,70.2,26.7,27,78,4,11,26,0,1.29,36,38,-2,-0.07,+0.45,31.7,36.2,-4.5,-0.17,-0.03
555,Chem Campbell,wls WAL,"FW,MF",Wolves,eng Premier League,20-159,5,74,15,2.2,0.8,0,,0,5,15,9,0.00,0,2,-2,-2.43,-1.76,0.2,1.0,-0.8,-1.01,-0.42
556,Emre Can,de GER,MF,Dortmund,de Bundesliga,29-146,27,1900,70,62.1,21.1,20,87,17,7,24,5,1.96,55,30,+25,+1.18,+0.10,46.4,26.9,+19.5,+0.93,+0.28
557,Sergio Canales,es ESP,"FW,MF",Betis,es La Liga,32-111,31,2402,77,70.2,26.7,28,82,14,3,40,0,1.52,31,28,+3,+0.11,-0.06,33.1,34.8,-1.6,-0.06,-0.36
558,Matteo Cancellieri,it ITA,FW,Lazio,it Serie A,21-115,20,256,13,7.5,2.8,1,45,0,19,11,18,1.85,6,2,+4,+1.41,+0.67,5.9,3.3,+2.6,+0.91,+0.71
559,João Cancelo,pt POR,DF,Manchester City,eng Premier League,29-011,17,1274,75,37.3,14.2,16,78,10,1,23,3,2.24,36,15,+21,+1.48,-0.19,24.8,11.3,+13.4,+0.95,-0.44
560,João Cancelo,pt POR,"DF,FW",Bayern Munich,de Bundesliga,29-011,15,1012,67,33.1,11.2,11,80,5,4,32,1,2.07,28,16,+12,+1.07,-0.78,23.1,15.0,+8.1,+0.72,-0.59
561,Pietro Candelari,it ITA,MF,Spezia,it Serie A,18-137,0,,,,,0,,0,0,,1,,,,,,,,,,,
562,Antonio Candreva,it ITA,"MF,DF",Salernitana,it Serie A,36-099,35,2726,78,79.7,30.3,32,83,18,3,21,0,1.17,41,46,-5,-0.17,+1.00,30.3,50.1,-19.8,-0.65,+0.73
563,Lucas Cañizares,es ESP,GK,Real Madrid,es La Liga,21-028,0,,,,,0,,0,0,,6,,,,,,,,,,,
564,Adrian Cannavaro,it ITA,DF,Sassuolo,it Serie A,19-028,0,,,,,0,,0,0,,1,,,,,,,,,,,
