Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
121,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29-120,22.0,2,0,0,24,40,15,63,5,15,1,0,0,109,16,45,26.2
122,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,28-143,2.3,1,0,0,3,6,1,1,3,4,0,0,0,10,2,5,28.6
123,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,24-342,5.8,2,0,0,7,5,0,6,8,5,0,0,0,35,6,4,60.0
124,Adil Aouchiche,fr FRA,MF,Lorient,fr Ligue 1,20-327,2.8,0,0,0,4,5,0,17,4,2,0,0,0,14,0,3,0.0
125,Dennis Appiah,fr FRA,"DF,MF",Nantes,fr Ligue 1,30-363,8.8,1,0,0,16,1,1,21,10,11,0,1,0,50,16,16,50.0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
126,Stredair Appuah,fr FRA,"DF,MF",Nantes,fr Ligue 1,18-345,0.7,0,0,0,0,2,0,2,1,1,0,0,0,5,1,3,25.0
127,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27-250,11.0,5,1,1,21,11,0,42,14,6,0,0,1,63,15,12,55.6
128,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,34-051,5.5,1,0,0,7,10,0,12,7,7,0,0,0,33,2,7,22.2
129,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24-092,20.0,5,1,0,16,17,1,5,12,18,0,0,1,94,46,27,63.0
130,Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,21-321,0.5,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,
131,Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,19-207,1.4,0,0,0,1,2,1,1,0,1,0,0,0,3,3,3,50.0
132,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30-100,3.4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
133,Joe Aribo,ng NGA,"MF,FW",Southampton,eng Premier League,26-321,13.6,2,0,0,10,13,0,8,10,20,0,0,0,76,30,43,41.1
134,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,26-117,14.8,2,0,0,17,9,2,14,5,9,0,0,0,54,5,21,19.2
135,Stuart Armstrong,sct SCO,"MF,FW",Southampton,eng Premier League,31-069,15.6,6,0,0,17,20,1,37,10,21,0,0,0,83,6,8,42.9
136,Marko Arnautović,at AUT,FW,Bologna,it Serie A,34-049,17.0,5,0,0,22,20,11,9,2,6,0,0,0,36,10,12,45.5
