Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
310,Willy Boly,ci CIV,DF,Wolves,eng Premier League,27,35.2,29,0.82,25,0,0,3,0,1,0,0.00,0,0,0,0,0,0
311,Léo Bonatini,br BRA,FW,Wolves,eng Premier League,24,1.5,8,5.33,7,0,0,1,0,0,3,2.00,3,0,0,0,0,0
312,Giacomo Bonaventura,it ITA,MF,Milan,it Serie A,28,7.2,36,5.01,28,1,2,4,1,0,3,0.42,3,0,0,0,0,0
313,Daniele Bonera,it ITA,DF,Villarreal,es La Liga,37,2.6,1,0.39,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
314,Gaëtan Bong,cm CMR,DF,Brighton,eng Premier League,30,20.1,18,0.90,13,3,2,0,0,0,1,0.05,1,0,0,0,0,0
315,Kevin Bonifazi,it ITA,DF,SPAL,it Serie A,22,25.6,25,0.98,22,0,1,1,1,0,1,0.04,1,0,0,0,0,0
316,Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,31,27.5,24,0.87,22,0,1,1,0,0,2,0.07,2,0,0,0,0,0
317,Fabio Borini,it ITA,"FW,DF",Milan,it Serie A,27,11.7,37,3.16,25,0,5,3,3,1,3,0.26,2,0,0,1,0,0
318,Robin Bormuth,de GER,DF,Düsseldorf,de Bundesliga,22,6.8,3,0.44,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
319,Artur Boruc,pl POL,GK,Bournemouth,eng Premier League,38,12.0,4,0.33,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
320,Olivier Boscagli,fr FRA,DF,Nice,fr Ligue 1,20,9.6,22,2.29,18,3,0,0,0,1,1,0.10,1,0,0,0,0,0
321,Gabriel Boschilia,br BRA,"FW,MF",Nantes,fr Ligue 1,22,14.7,51,3.48,34,8,0,5,3,1,6,0.41,4,0,0,2,0,0
322,John Bostock,tt TRI,MF,Toulouse,fr Ligue 1,26,10.9,15,1.37,10,3,0,1,1,0,0,0.00,0,0,0,0,0,0
323,Denis Bouanga,ga GAB,"MF,FW",Nîmes,fr Ligue 1,23,29.3,75,2.56,48,2,14,7,3,1,8,0.27,4,0,0,0,3,1
324,Zacharie Boucher,fr FRA,GK,Angers,fr Ligue 1,26,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
325,Ryad Boudebouz,dz ALG,"MF,FW",Celta Vigo,es La Liga,28,8.0,32,4.02,26,2,3,1,0,0,4,0.50,4,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
326,Ryad Boudebouz,dz ALG,"MF,FW",Betis,es La Liga,28,6.0,27,4.51,23,2,2,0,0,0,1,0.17,1,0,0,0,0,0
327,Sofiane Boufal,ma MAR,"MF,FW",Celta Vigo,es La Liga,24,23.2,116,5.01,54,9,32,7,13,1,13,0.56,7,0,1,1,4,0
328,Nassim Boujellab,ma MAR,MF,Schalke 04,de Bundesliga,19,4.2,5,1.19,2,0,1,1,1,0,2,0.48,1,0,1,0,0,0
329,Arnold Bouka Moutou,cg CGO,"DF,FW",Dijon,fr Ligue 1,29,0.7,1,1.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
330,Yassine Bounou,ma MAR,GK,Girona,es La Liga,27,31.8,2,0.06,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
331,Mehdi Bourabia,ma MAR,MF,Sassuolo,it Serie A,26,22.3,57,2.55,45,3,2,7,0,0,2,0.09,2,0,0,0,0,0
332,Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,fr Ligue 1,24,26.9,69,2.56,48,13,0,3,2,3,11,0.41,6,2,0,3,0,0
333,Bilal Boutobba,fr FRA,"FW,MF",Montpellier,fr Ligue 1,19,0.4,6,16.88,3,0,1,0,2,0,0,0.00,0,0,0,0,0,0
334,Umut Bozok,tr TUR,FW,Nîmes,fr Ligue 1,21,13.7,35,2.55,18,0,2,3,12,0,6,0.44,4,0,1,0,1,0
335,Filip Bradarić,hr CRO,MF,Cagliari,it Serie A,26,16.6,27,1.63,23,2,0,2,0,0,2,0.12,2,0,0,0,0,0
336,Robbie Brady,ie IRL,MF,Burnley,eng Premier League,26,8.0,25,3.12,15,6,1,0,2,1,1,0.12,0,1,0,0,0,0
337,Martin Braithwaite,dk DEN,FW,Leganés,es La Liga,27,15.6,27,1.73,20,0,4,1,2,0,9,0.58,6,0,1,1,1,0
338,Julian Brandt,de GER,"MF,FW",Leverkusen,de Bundesliga,22,29.6,176,5.94,123,27,11,10,4,1,31,1.05,22,5,1,2,1,0
339,Darko Brašanac,rs SRB,MF,Alavés,es La Liga,26,17.6,30,1.71,24,2,1,2,1,0,1,0.06,1,0,0,0,0,0
340,Pedro Brazão,pt POR,"MF,FW",Nice,fr Ligue 1,15,0.2,1,6.43,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
341,Fabian Bredlow,de GER,GK,Nürnberg,de Bundesliga,23,12.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
342,Josip Brekalo,hr CRO,"FW,MF",Wolfsburg,de Bundesliga,20,15.7,62,3.94,41,15,1,1,3,1,7,0.44,6,0,1,0,0,0
343,Gleison Bremer,br BRA,DF,Torino,it Serie A,21,2.0,1,0.49,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
344,Joshua Brenet,nl NED,DF,Hoffenheim,de Bundesliga,24,10.1,34,3.38,28,2,0,3,0,1,3,0.30,3,0,0,0,0,0
345,Rajko Brežančić,rs SRB,DF,Huesca,es La Liga,28,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
346,Anthony Briançon,fr FRA,DF,Nîmes,fr Ligue 1,23,32.5,21,0.65,17,1,0,3,0,0,3,0.09,3,0,0,0,0,0
347,Jimmy Briand,fr FRA,FW,Bordeaux,fr Ligue 1,32,27.7,61,2.20,50,0,3,3,3,2,6,0.22,6,0,0,0,0,0
348,Nicolò Brighenti,it ITA,DF,Frosinone,it Serie A,28,11.0,16,1.45,11,3,0,1,1,0,1,0.09,0,0,0,1,0,0
349,Matteo Brighi,it ITA,MF,Empoli,it Serie A,37,2.6,5,1.96,3,1,0,0,1,0,0,0.00,0,0,0,0,0,0
350,Enrico Brignola,it ITA,"FW,MF",Sassuolo,it Serie A,19,1.9,3,1.54,3,0,0,0,0,0,1,0.51,1,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
351,Miguel Britos,uy URU,DF,Watford,eng Premier League,33,2.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
352,David Brooks,wls WAL,"MF,FW",Bournemouth,eng Premier League,21,25.1,79,3.14,53,5,3,7,7,4,14,0.56,8,0,2,1,2,1
353,John Brooks,us USA,DF,Wolfsburg,de Bundesliga,25,29.0,22,0.76,21,0,0,1,0,0,4,0.14,3,0,0,1,0,0
354,Daniel Brosinski,de GER,DF,Mainz 05,de Bundesliga,30,24.5,67,2.74,47,16,1,2,1,0,6,0.25,6,0,0,0,0,0
355,Marcelo Brozović,hr CRO,MF,Inter,it Serie A,25,29.4,144,4.89,117,19,2,1,1,4,6,0.20,3,2,0,0,0,1
356,Bruma,pt POR,MF,RB Leipzig,de Bundesliga,23,6.1,24,3.91,19,0,3,1,1,0,3,0.49,2,0,1,0,0,0
357,Jeffrey Bruma,nl NED,DF,Schalke 04,de Bundesliga,26,6.9,2,0.29,2,0,0,0,0,0,1,0.14,1,0,0,0,0,0
358,Bruno,es ESP,DF,Brighton,eng Premier League,37,12.6,16,1.27,11,4,0,1,0,0,4,0.32,2,1,0,1,0,0
359,Jacob Bruun Larsen,dk DEN,FW,Dortmund,de Bundesliga,19,14.1,32,2.28,25,3,2,1,0,1,2,0.14,2,0,0,0,0,0
360,Bryan,es ESP,"MF,FW",Sevilla,es La Liga,17,1.9,6,3.23,4,0,2,0,0,0,2,1.08,1,0,1,0,0,0
361,Joe Bryan,eng ENG,"DF,MF",Fulham,eng Premier League,24,26.1,52,2.00,33,9,2,5,2,1,2,0.08,2,0,0,0,0,0
362,Gianluigi Buffon,it ITA,GK,Paris S-G,fr Ligue 1,40,17.0,1,0.06,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
363,Niko Bungert,de GER,DF,Mainz 05,de Bundesliga,31,3.2,3,0.95,1,0,0,0,1,1,0,0.00,0,0,0,0,0,0
364,Guido Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,29,17.0,36,2.12,19,1,1,5,8,2,1,0.06,1,0,0,0,0,0
