Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
57,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,7.1,644,2,48,387,215,11,644,18,12,66.7,6,33.3,481,2498,1154,18,25,3,12,14,574,38
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,25.0,917,733,911,7,0,0,917,2,2,100.0,0,0.0,406,2210,1483,0,0,0,3,0,368,0
59,Alexander,ar ARG,FW,Leganés,es La Liga,29,0.1,11,0,5,2,4,0,11,0,0,,0,,6,7,3,0,0,0,1,0,4,3
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,27.4,2514,70,528,1210,798,39,2514,27,14,51.9,13,48.1,1416,5548,3296,70,64,7,41,14,1538,174
61,Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,13.9,525,8,28,219,280,43,525,12,7,58.3,5,41.7,249,1297,628,24,25,4,16,12,365,79
62,Alisson,br BRA,GK,Liverpool,eng Premier League,25,38.0,1347,1118,1338,10,0,0,1347,2,2,100.0,0,0.0,838,3680,2466,1,1,0,0,1,675,0
63,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,13.0,509,427,509,0,0,0,509,0,0,,0,,231,1692,1287,0,0,0,0,0,137,0
64,Allan,br BRA,MF,Napoli,it Serie A,27,29.1,2582,70,466,1711,439,26,2582,64,41,64.1,23,35.9,1757,8379,4562,49,66,14,34,42,1876,45
65,Allan,br BRA,MF,Eint Frankfurt,de Bundesliga,21,2.0,81,1,13,51,21,1,81,1,1,100.0,0,0.0,35,242,116,4,4,1,3,1,47,3
66,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,22,20.3,1320,32,147,674,514,91,1320,54,29,53.7,25,46.3,857,4278,1961,48,39,14,49,29,948,153
