Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
64,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,33-200,2.6,1,2,1,50.0,0.76,0.38,0.50,1.00,8.0,0,0,0,0.3,0.3,0.17,+0.7,+0.7
65,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32-056,13.9,0,10,1,10.0,0.72,0.07,0.00,0.00,24.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4
66,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,20-188,11.4,4,24,10,41.7,2.10,0.87,0.17,0.40,20.0,0,0,0,1.9,1.9,0.08,+2.1,+2.1
67,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32-036,22.7,3,31,4,12.9,1.37,0.18,0.03,0.25,23.5,3,2,3,4.0,1.6,0.05,-1.0,-0.6
68,Omar Alderete,py PAR,DF,Getafe,es La Liga,26-162,22.7,1,17,8,47.1,0.75,0.35,0.06,0.13,17.6,0,0,0,0.6,0.6,0.04,+0.4,+0.4
69,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,28-116,14.6,0,23,6,26.1,1.58,0.41,0.00,0.00,21.3,0,0,0,1.2,1.2,0.05,-1.2,-1.2
70,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-220,4.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
71,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,25-152,23.5,2,33,10,30.3,1.40,0.42,0.06,0.20,22.3,0,0,0,2.3,2.3,0.07,-0.3,-0.3
72,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-242,32.5,2,40,8,20.0,1.23,0.25,0.05,0.25,23.8,5,0,0,2.4,2.4,0.06,-0.4,-0.4
73,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20-356,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
74,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23-348,12.6,0,7,1,14.3,0.55,0.08,0.00,0.00,24.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3
75,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19-138,6.5,1,23,12,52.2,3.53,1.84,0.04,0.08,18.3,0,0,0,1.8,1.8,0.08,-0.8,-0.8
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
76,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21-323,2.0,0,2,0,0.0,0.99,0.00,0.00,,17.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
77,Alisson,br BRA,GK,Liverpool,eng Premier League,30-247,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
78,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,fr Ligue 1,28-099,24.9,1,30,8,26.7,1.20,0.32,0.03,0.13,16.9,0,0,0,2.5,2.5,0.08,-1.5,-1.5
79,Dele Alli,eng ENG,MF,Everton,eng Premier League,27-056,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
80,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,23-007,28.2,2,23,8,34.8,0.82,0.28,0.09,0.25,22.7,3,0,0,1.4,1.4,0.06,+0.6,+0.6
