Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
87,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,32.0,40,27,31,8,1,19,31,61.3,12,30,15,15,35,75,147,1
88,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,25,33.8,89,49,33,44,12,31,101,30.7,70,71,0,71,41,130,18,1
89,Florin Andone,ro ROU,FW,Brighton,eng Premier League,25,9.8,10,2,3,4,3,1,6,16.7,5,9,1,8,3,13,12,0
90,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,27,27.7,101,60,39,50,12,33,85,38.8,52,40,6,34,54,155,58,0
91,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1.2,1,1,1,0,0,1,1,100.0,0,2,1,1,1,2,5,0
92,Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,7.2,10,6,7,2,1,6,10,60.0,4,4,2,2,6,16,33,0
93,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,0.0,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0
94,José Ángel,es ESP,DF,Eibar,es La Liga,28,33.6,66,46,36,23,7,31,56,55.4,25,24,5,19,41,107,113,1
95,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,11.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,9,2
96,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,31,20.1,50,26,19,21,10,15,30,50.0,15,21,4,17,15,65,31,0
97,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,33,23.7,11,9,5,1,5,1,10,10.0,9,14,0,14,5,16,5,0
98,Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,34.0,49,32,33,14,2,22,50,44.0,28,56,33,23,69,118,169,3
99,Luca Antonelli,it ITA,DF,Empoli,it Serie A,31,8.4,13,11,4,5,4,7,17,41.2,10,19,4,15,16,29,25,1
100,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,it Serie A,20,0.6,2,2,1,1,0,0,2,0.0,2,2,1,1,0,2,3,0
